GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 5 years and over
HC03_MOE_VC05,Female; Margin of Error; Population 5 to 15 years
HC01_EST_VC06,Total; Estimate; Population 5 to 15 years - With any disability
HC01_MOE_VC06,Total; Margin of Error; Population 5 to 15 years - With any disability
HC02_EST_VC06,Male; Estimate; Population 5 to 15 years - With any disability
HC02_MOE_VC06,Male; Margin of Error; Population 5 to 15 years - With any disability
HC03_EST_VC06,Female; Estimate; Population 5 to 15 years - With any disability
HC03_MOE_VC06,Female; Margin of Error; Population 5 to 15 years - With any disability
HC01_EST_VC07,Total; Estimate; Population 5 to 15 years - With a sensory disability
HC01_MOE_VC07,Total; Margin of Error; Population 5 to 15 years - With a sensory disability
HC02_EST_VC07,Male; Estimate; Population 5 to 15 years - With a sensory disability
HC02_MOE_VC07,Male; Margin of Error; Population 5 to 15 years - With a sensory disability
HC03_EST_VC07,Female; Estimate; Population 5 to 15 years - With a sensory disability
HC03_MOE_VC07,Female; Margin of Error; Population 5 to 15 years - With a sensory disability
HC01_EST_VC08,Total; Estimate; Population 5 to 15 years - With a physical disability
HC01_MOE_VC08,Total; Margin of Error; Population 5 to 15 years - With a physical disability
HC02_EST_VC08,Male; Estimate; Population 5 to 15 years - With a physical disability
HC02_MOE_VC08,Male; Margin of Error; Population 5 to 15 years - With a physical disability
HC03_EST_VC08,Female; Estimate; Population 5 to 15 years - With a physical disability
HC03_MOE_VC08,Female; Margin of Error; Population 5 to 15 years - With a physical disability
HC01_EST_VC09,Total; Estimate; Population 5 to 15 years - With a mental disability
HC01_MOE_VC09,Total; Margin of Error; Population 5 to 15 years - With a mental disability
HC02_EST_VC09,Male; Estimate; Population 5 to 15 years - With a mental disability
HC02_MOE_VC09,Male; Margin of Error; Population 5 to 15 years - With a mental disability
HC03_EST_VC09,Female; Estimate; Population 5 to 15 years - With a mental disability
HC03_MOE_VC09,Female; Margin of Error; Population 5 to 15 years - With a mental disability
HC01_EST_VC10,Total; Estimate; Population 5 to 15 years - With a self-care disability
HC01_MOE_VC10,Total; Margin of Error; Population 5 to 15 years - With a self-care disability
HC02_EST_VC10,Male; Estimate; Population 5 to 15 years - With a self-care disability
HC02_MOE_VC10,Male; Margin of Error; Population 5 to 15 years - With a self-care disability
HC03_EST_VC10,Female; Estimate; Population 5 to 15 years - With a self-care disability
HC03_MOE_VC10,Female; Margin of Error; Population 5 to 15 years - With a self-care disability
HC01_EST_VC11,Total; Estimate; Population 16 to 64 years
HC01_MOE_VC11,Total; Margin of Error; Population 16 to 64 years
HC02_EST_VC11,Male; Estimate; Population 16 to 64 years
HC02_MOE_VC11,Male; Margin of Error; Population 16 to 64 years
HC03_EST_VC11,Female; Estimate; Population 16 to 64 years
HC03_MOE_VC11,Female; Margin of Error; Population 16 to 64 years
HC01_EST_VC12,Total; Estimate; Population 16 to 64 years - With any disability
HC01_MOE_VC12,Total; Margin of Error; Population 16 to 64 years - With any disability
HC02_EST_VC12,Male; Estimate; Population 16 to 64 years - With any disability
HC02_MOE_VC12,Male; Margin of Error; Population 16 to 64 years - With any disability
HC03_EST_VC12,Female; Estimate; Population 16 to 64 years - With any disability
HC03_MOE_VC12,Female; Margin of Error; Population 16 to 64 years - With any disability
HC01_EST_VC13,Total; Estimate; Population 16 to 64 years - With a sensory disability
HC01_MOE_VC13,Total; Margin of Error; Population 16 to 64 years - With a sensory disability
HC02_EST_VC13,Male; Estimate; Population 16 to 64 years - With a sensory disability
HC02_MOE_VC13,Male; Margin of Error; Population 16 to 64 years - With a sensory disability
HC03_EST_VC13,Female; Estimate; Population 16 to 64 years - With a sensory disability
HC03_MOE_VC13,Female; Margin of Error; Population 16 to 64 years - With a sensory disability
HC01_EST_VC14,Total; Estimate; Population 16 to 64 years - With a physical disability
HC01_MOE_VC14,Total; Margin of Error; Population 16 to 64 years - With a physical disability
HC02_EST_VC14,Male; Estimate; Population 16 to 64 years - With a physical disability
HC02_MOE_VC14,Male; Margin of Error; Population 16 to 64 years - With a physical disability
HC03_EST_VC14,Female; Estimate; Population 16 to 64 years - With a physical disability
HC03_MOE_VC14,Female; Margin of Error; Population 16 to 64 years - With a physical disability
HC01_EST_VC15,Total; Estimate; Population 16 to 64 years - With a mental disability
HC01_MOE_VC15,Total; Margin of Error; Population 16 to 64 years - With a mental disability
HC02_EST_VC15,Male; Estimate; Population 16 to 64 years - With a mental disability
HC02_MOE_VC15,Male; Margin of Error; Population 16 to 64 years - With a mental disability
HC03_EST_VC15,Female; Estimate; Population 16 to 64 years - With a mental disability
HC03_MOE_VC15,Female; Margin of Error; Population 16 to 64 years - With a mental disability
HC01_EST_VC16,Total; Estimate; Population 16 to 64 years - With a self-care disability
HC01_MOE_VC16,Total; Margin of Error; Population 16 to 64 years - With a self-care disability
HC02_EST_VC16,Male; Estimate; Population 16 to 64 years - With a self-care disability
HC02_MOE_VC16,Male; Margin of Error; Population 16 to 64 years - With a self-care disability
HC03_EST_VC16,Female; Estimate; Population 16 to 64 years - With a self-care disability
HC03_MOE_VC16,Female; Margin of Error; Population 16 to 64 years - With a self-care disability
HC01_EST_VC17,Total; Estimate; Population 16 to 64 years - With a go-outside-home disability
HC01_MOE_VC17,Total; Margin of Error; Population 16 to 64 years - With a go-outside-home disability
HC02_EST_VC17,Male; Estimate; Population 16 to 64 years - With a go-outside-home disability
HC02_MOE_VC17,Male; Margin of Error; Population 16 to 64 years - With a go-outside-home disability
HC03_EST_VC17,Female; Estimate; Population 16 to 64 years - With a go-outside-home disability
HC03_MOE_VC17,Female; Margin of Error; Population 16 to 64 years - With a go-outside-home disability
HC01_EST_VC18,Total; Estimate; Population 16 to 64 years - With an employment disability
HC01_MOE_VC18,Total; Margin of Error; Population 16 to 64 years - With an employment disability
HC02_EST_VC18,Male; Estimate; Population 16 to 64 years - With an employment disability
HC02_MOE_VC18,Male; Margin of Error; Population 16 to 64 years - With an employment disability
HC03_EST_VC18,Female; Estimate; Population 16 to 64 years - With an employment disability
HC03_MOE_VC18,Female; Margin of Error; Population 16 to 64 years - With an employment disability
HC01_EST_VC19,Total; Estimate; Population 65 years and over
HC01_MOE_VC19,Total; Margin of Error; Population 65 years and over
HC02_EST_VC19,Male; Estimate; Population 65 years and over
HC02_MOE_VC19,Male; Margin of Error; Population 65 years and over
HC03_EST_VC19,Female; Estimate; Population 65 years and over
HC03_MOE_VC19,Female; Margin of Error; Population 65 years and over
HC01_EST_VC20,Total; Estimate; Population 65 years and over - With any disability
HC01_MOE_VC20,Total; Margin of Error; Population 65 years and over - With any disability
HC02_EST_VC20,Male; Estimate; Population 65 years and over - With any disability
HC02_MOE_VC20,Male; Margin of Error; Population 65 years and over - With any disability
HC03_EST_VC20,Female; Estimate; Population 65 years and over - With any disability
HC03_MOE_VC20,Female; Margin of Error; Population 65 years and over - With any disability
HC01_EST_VC21,Total; Estimate; Population 65 years and over - With a sensory disability
HC01_MOE_VC21,Total; Margin of Error; Population 65 years and over - With a sensory disability
HC02_EST_VC21,Male; Estimate; Population 65 years and over - With a sensory disability
HC02_MOE_VC21,Male; Margin of Error; Population 65 years and over - With a sensory disability
HC03_EST_VC21,Female; Estimate; Population 65 years and over - With a sensory disability
HC03_MOE_VC21,Female; Margin of Error; Population 65 years and over - With a sensory disability
HC01_EST_VC22,Total; Estimate; Population 65 years and over - With a physical disability
HC01_MOE_VC22,Total; Margin of Error; Population 65 years and over - With a physical disability
HC02_EST_VC22,Male; Estimate; Population 65 years and over - With a physical disability
HC02_MOE_VC22,Male; Margin of Error; Population 65 years and over - With a physical disability
HC03_EST_VC22,Female; Estimate; Population 65 years and over - With a physical disability
HC03_MOE_VC22,Female; Margin of Error; Population 65 years and over - With a physical disability
HC01_EST_VC23,Total; Estimate; Population 65 years and over - With a mental disability
HC01_MOE_VC23,Total; Margin of Error; Population 65 years and over - With a mental disability
HC02_EST_VC23,Male; Estimate; Population 65 years and over - With a mental disability
HC02_MOE_VC23,Male; Margin of Error; Population 65 years and over - With a mental disability
HC03_EST_VC23,Female; Estimate; Population 65 years and over - With a mental disability
HC03_MOE_VC23,Female; Margin of Error; Population 65 years and over - With a mental disability
HC01_EST_VC24,Total; Estimate; Population 65 years and over - With a self-care disability
HC01_MOE_VC24,Total; Margin of Error; Population 65 years and over - With a self-care disability
HC02_EST_VC24,Male; Estimate; Population 65 years and over - With a self-care disability
HC02_MOE_VC24,Male; Margin of Error; Population 65 years and over - With a self-care disability
HC03_EST_VC24,Female; Estimate; Population 65 years and over - With a self-care disability
HC03_MOE_VC24,Female; Margin of Error; Population 65 years and over - With a self-care disability
HC01_EST_VC25,Total; Estimate; Population 65 years and over - With a go-outside-home disability
HC01_MOE_VC25,Total; Margin of Error; Population 65 years and over - With a go-outside-home disability
HC02_EST_VC25,Male; Estimate; Population 65 years and over - With a go-outside-home disability
HC02_MOE_VC25,Male; Margin of Error; Population 65 years and over - With a go-outside-home disability
HC03_EST_VC25,Female; Estimate; Population 65 years and over - With a go-outside-home disability
HC03_MOE_VC25,Female; Margin of Error; Population 65 years and over - With a go-outside-home disability
HC01_EST_VC27,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years
HC01_MOE_VC27,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years
HC02_EST_VC27,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years
HC02_MOE_VC27,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years
HC03_EST_VC27,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years
HC03_MOE_VC27,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years
HC01_EST_VC28,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC01_MOE_VC28,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC02_EST_VC28,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC02_MOE_VC28,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC03_EST_VC28,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC03_MOE_VC28,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability
HC01_EST_VC29,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC01_MOE_VC29,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC02_EST_VC29,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC02_MOE_VC29,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC03_EST_VC29,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC03_MOE_VC29,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With any disability - Employed
HC01_EST_VC30,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC01_MOE_VC30,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC02_EST_VC30,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC02_MOE_VC30,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC03_EST_VC30,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC03_MOE_VC30,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability
HC01_EST_VC31,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC01_MOE_VC31,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC02_EST_VC31,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC02_MOE_VC31,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC03_EST_VC31,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC03_MOE_VC31,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a sensory disability - Employed
HC01_EST_VC32,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC01_MOE_VC32,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC02_EST_VC32,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC02_MOE_VC32,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC03_EST_VC32,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC03_MOE_VC32,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability
HC01_EST_VC33,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC01_MOE_VC33,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC02_EST_VC33,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC02_MOE_VC33,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC03_EST_VC33,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC03_MOE_VC33,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a physical disability - Employed
HC01_EST_VC34,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC01_MOE_VC34,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC02_EST_VC34,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC02_MOE_VC34,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC03_EST_VC34,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC03_MOE_VC34,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability
HC01_EST_VC35,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC01_MOE_VC35,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC02_EST_VC35,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC02_MOE_VC35,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC03_EST_VC35,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC03_MOE_VC35,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a mental disability - Employed
HC01_EST_VC36,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC01_MOE_VC36,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC02_EST_VC36,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC02_MOE_VC36,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC03_EST_VC36,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC03_MOE_VC36,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability
HC01_EST_VC37,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC01_MOE_VC37,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC02_EST_VC37,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC02_MOE_VC37,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC03_EST_VC37,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC03_MOE_VC37,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a self-care disability - Employed
HC01_EST_VC38,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC01_MOE_VC38,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC02_EST_VC38,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC02_MOE_VC38,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC03_EST_VC38,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC03_MOE_VC38,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability
HC01_EST_VC39,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC01_MOE_VC39,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC02_EST_VC39,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC02_MOE_VC39,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC03_EST_VC39,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC03_MOE_VC39,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With a go-outside-home disability - Employed
HC01_EST_VC40,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC01_MOE_VC40,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC02_EST_VC40,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC02_MOE_VC40,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC03_EST_VC40,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC03_MOE_VC40,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability
HC01_EST_VC41,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC01_MOE_VC41,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC02_EST_VC41,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC02_MOE_VC41,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC03_EST_VC41,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC03_MOE_VC41,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - With an employment disability - Employed
HC01_EST_VC42,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC01_MOE_VC42,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC02_EST_VC42,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC02_MOE_VC42,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC03_EST_VC42,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC03_MOE_VC42,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability
HC01_EST_VC43,Total; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC01_MOE_VC43,Total; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC02_EST_VC43,Male; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC02_MOE_VC43,Male; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC03_EST_VC43,Female; Estimate; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC03_MOE_VC43,Female; Margin of Error; EMPLOYMENT STATUS - Population 16 to 64 years - No disability - Employed
HC01_EST_VC45,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC01_MOE_VC45,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC02_EST_VC45,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC02_MOE_VC45,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC03_EST_VC45,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC03_MOE_VC45,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined
HC01_EST_VC46,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC01_MOE_VC46,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC02_EST_VC46,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC02_MOE_VC46,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC03_EST_VC46,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC03_MOE_VC46,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability
HC01_EST_VC47,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC01_MOE_VC47,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC02_EST_VC47,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC02_MOE_VC47,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC03_EST_VC47,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC03_MOE_VC47,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With any disability - Below poverty level
HC01_EST_VC48,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC01_MOE_VC48,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC02_EST_VC48,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC02_MOE_VC48,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC03_EST_VC48,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC03_MOE_VC48,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability
HC01_EST_VC49,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC01_MOE_VC49,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC02_EST_VC49,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC02_MOE_VC49,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC03_EST_VC49,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC03_MOE_VC49,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a sensory disability - Below poverty level
HC01_EST_VC50,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC01_MOE_VC50,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC02_EST_VC50,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC02_MOE_VC50,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC03_EST_VC50,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC03_MOE_VC50,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability
HC01_EST_VC51,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC01_MOE_VC51,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC02_EST_VC51,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC02_MOE_VC51,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC03_EST_VC51,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC03_MOE_VC51,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a physical disability - Below poverty level
HC01_EST_VC52,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
HC01_MOE_VC52,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
HC02_EST_VC52,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
HC02_MOE_VC52,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
HC03_EST_VC52,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
HC03_MOE_VC52,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability
