GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC09,Total; Estimate; Population 5 to 17 years - With an ambulatory difficulty
HC01_MOE_VC09,Total; Margin of Error; Population 5 to 17 years - With an ambulatory difficulty
HC02_EST_VC09,With a disability; Estimate; Population 5 to 17 years - With an ambulatory difficulty
HC02_MOE_VC09,With a disability; Margin of Error; Population 5 to 17 years - With an ambulatory difficulty
HC03_EST_VC09,Percent  with a disability; Estimate; Population 5 to 17 years - With an ambulatory difficulty
HC03_MOE_VC09,Percent  with a disability; Margin of Error; Population 5 to 17 years - With an ambulatory difficulty
HC01_EST_VC10,Total; Estimate; Population 5 to 17 years - With a self-care difficulty
HC01_MOE_VC10,Total; Margin of Error; Population 5 to 17 years - With a self-care difficulty
HC02_EST_VC10,With a disability; Estimate; Population 5 to 17 years - With a self-care difficulty
HC02_MOE_VC10,With a disability; Margin of Error; Population 5 to 17 years - With a self-care difficulty
HC03_EST_VC10,Percent  with a disability; Estimate; Population 5 to 17 years - With a self-care difficulty
HC03_MOE_VC10,Percent  with a disability; Margin of Error; Population 5 to 17 years - With a self-care difficulty
HC01_EST_VC11,Total; Estimate; Population 18 to 64 years
HC01_MOE_VC11,Total; Margin of Error; Population 18 to 64 years
HC02_EST_VC11,With a disability; Estimate; Population 18 to 64 years
HC02_MOE_VC11,With a disability; Margin of Error; Population 18 to 64 years
HC03_EST_VC11,Percent  with a disability; Estimate; Population 18 to 64 years
HC03_MOE_VC11,Percent  with a disability; Margin of Error; Population 18 to 64 years
HC01_EST_VC12,Total; Estimate; Population 18 to 64 years - With a hearing difficulty
HC01_MOE_VC12,Total; Margin of Error; Population 18 to 64 years - With a hearing difficulty
HC02_EST_VC12,With a disability; Estimate; Population 18 to 64 years - With a hearing difficulty
HC02_MOE_VC12,With a disability; Margin of Error; Population 18 to 64 years - With a hearing difficulty
HC03_EST_VC12,Percent  with a disability; Estimate; Population 18 to 64 years - With a hearing difficulty
HC03_MOE_VC12,Percent  with a disability; Margin of Error; Population 18 to 64 years - With a hearing difficulty
HC01_EST_VC13,Total; Estimate; Population 18 to 64 years - With a vision difficulty
HC01_MOE_VC13,Total; Margin of Error; Population 18 to 64 years - With a vision difficulty
HC02_EST_VC13,With a disability; Estimate; Population 18 to 64 years - With a vision difficulty
HC02_MOE_VC13,With a disability; Margin of Error; Population 18 to 64 years - With a vision difficulty
HC03_EST_VC13,Percent  with a disability; Estimate; Population 18 to 64 years - With a vision difficulty
HC03_MOE_VC13,Percent  with a disability; Margin of Error; Population 18 to 64 years - With a vision difficulty
HC01_EST_VC14,Total; Estimate; Population 18 to 64 years - With a cognitive difficulty
HC01_MOE_VC14,Total; Margin of Error; Population 18 to 64 years - With a cognitive difficulty
HC02_EST_VC14,With a disability; Estimate; Population 18 to 64 years - With a cognitive difficulty
HC02_MOE_VC14,With a disability; Margin of Error; Population 18 to 64 years - With a cognitive difficulty
HC03_EST_VC14,Percent  with a disability; Estimate; Population 18 to 64 years - With a cognitive difficulty
HC03_MOE_VC14,Percent  with a disability; Margin of Error; Population 18 to 64 years - With a cognitive difficulty
HC01_EST_VC15,Total; Estimate; Population 18 to 64 years - With an ambulatory difficulty
HC01_MOE_VC15,Total; Margin of Error; Population 18 to 64 years - With an ambulatory difficulty
HC02_EST_VC15,With a disability; Estimate; Population 18 to 64 years - With an ambulatory difficulty
HC02_MOE_VC15,With a disability; Margin of Error; Population 18 to 64 years - With an ambulatory difficulty
HC03_EST_VC15,Percent  with a disability; Estimate; Population 18 to 64 years - With an ambulatory difficulty
HC03_MOE_VC15,Percent  with a disability; Margin of Error; Population 18 to 64 years - With an ambulatory difficulty
HC01_EST_VC16,Total; Estimate; Population 18 to 64 years - With a self-care difficulty
HC01_MOE_VC16,Total; Margin of Error; Population 18 to 64 years - With a self-care difficulty
HC02_EST_VC16,With a disability; Estimate; Population 18 to 64 years - With a self-care difficulty
HC02_MOE_VC16,With a disability; Margin of Error; Population 18 to 64 years - With a self-care difficulty
HC03_EST_VC16,Percent  with a disability; Estimate; Population 18 to 64 years - With a self-care difficulty
HC03_MOE_VC16,Percent  with a disability; Margin of Error; Population 18 to 64 years - With a self-care difficulty
HC01_EST_VC17,Total; Estimate; Population 18 to 64 years - With an independent living difficulty
HC01_MOE_VC17,Total; Margin of Error; Population 18 to 64 years - With an independent living difficulty
HC02_EST_VC17,With a disability; Estimate; Population 18 to 64 years - With an independent living difficulty
HC02_MOE_VC17,With a disability; Margin of Error; Population 18 to 64 years - With an independent living difficulty
HC03_EST_VC17,Percent  with a disability; Estimate; Population 18 to 64 years - With an independent living difficulty
HC03_MOE_VC17,Percent  with a disability; Margin of Error; Population 18 to 64 years - With an independent living difficulty
HC01_EST_VC18,Total; Estimate; Population 65 years and over
HC01_MOE_VC18,Total; Margin of Error; Population 65 years and over
HC02_EST_VC18,With a disability; Estimate; Population 65 years and over
HC02_MOE_VC18,With a disability; Margin of Error; Population 65 years and over
HC03_EST_VC18,Percent  with a disability; Estimate; Population 65 years and over
HC03_MOE_VC18,Percent  with a disability; Margin of Error; Population 65 years and over
HC01_EST_VC19,Total; Estimate; Population 65 years and over - With a hearing difficulty
HC01_MOE_VC19,Total; Margin of Error; Population 65 years and over - With a hearing difficulty
HC02_EST_VC19,With a disability; Estimate; Population 65 years and over - With a hearing difficulty
HC02_MOE_VC19,With a disability; Margin of Error; Population 65 years and over - With a hearing difficulty
HC03_EST_VC19,Percent  with a disability; Estimate; Population 65 years and over - With a hearing difficulty
HC03_MOE_VC19,Percent  with a disability; Margin of Error; Population 65 years and over - With a hearing difficulty
HC01_EST_VC20,Total; Estimate; Population 65 years and over - With a vision difficulty
HC01_MOE_VC20,Total; Margin of Error; Population 65 years and over - With a vision difficulty
HC02_EST_VC20,With a disability; Estimate; Population 65 years and over - With a vision difficulty
HC02_MOE_VC20,With a disability; Margin of Error; Population 65 years and over - With a vision difficulty
HC03_EST_VC20,Percent  with a disability; Estimate; Population 65 years and over - With a vision difficulty
HC03_MOE_VC20,Percent  with a disability; Margin of Error; Population 65 years and over - With a vision difficulty
HC01_EST_VC21,Total; Estimate; Population 65 years and over - With a cognitive difficulty
HC01_MOE_VC21,Total; Margin of Error; Population 65 years and over - With a cognitive difficulty
HC02_EST_VC21,With a disability; Estimate; Population 65 years and over - With a cognitive difficulty
HC02_MOE_VC21,With a disability; Margin of Error; Population 65 years and over - With a cognitive difficulty
HC03_EST_VC21,Percent  with a disability; Estimate; Population 65 years and over - With a cognitive difficulty
HC03_MOE_VC21,Percent  with a disability; Margin of Error; Population 65 years and over - With a cognitive difficulty
HC01_EST_VC22,Total; Estimate; Population 65 years and over - With an ambulatory difficulty
HC01_MOE_VC22,Total; Margin of Error; Population 65 years and over - With an ambulatory difficulty
HC02_EST_VC22,With a disability; Estimate; Population 65 years and over - With an ambulatory difficulty
HC02_MOE_VC22,With a disability; Margin of Error; Population 65 years and over - With an ambulatory difficulty
HC03_EST_VC22,Percent  with a disability; Estimate; Population 65 years and over - With an ambulatory difficulty
HC03_MOE_VC22,Percent  with a disability; Margin of Error; Population 65 years and over - With an ambulatory difficulty
HC01_EST_VC23,Total; Estimate; Population 65 years and over - With a self-care difficulty
HC01_MOE_VC23,Total; Margin of Error; Population 65 years and over - With a self-care difficulty
HC02_EST_VC23,With a disability; Estimate; Population 65 years and over - With a self-care difficulty
HC02_MOE_VC23,With a disability; Margin of Error; Population 65 years and over - With a self-care difficulty
HC03_EST_VC23,Percent  with a disability; Estimate; Population 65 years and over - With a self-care difficulty
HC03_MOE_VC23,Percent  with a disability; Margin of Error; Population 65 years and over - With a self-care difficulty
HC01_EST_VC24,Total; Estimate; Population 65 years and over - With an independent living difficulty
HC01_MOE_VC24,Total; Margin of Error; Population 65 years and over - With an independent living difficulty
HC02_EST_VC24,With a disability; Estimate; Population 65 years and over - With an independent living difficulty
HC02_MOE_VC24,With a disability; Margin of Error; Population 65 years and over - With an independent living difficulty
HC03_EST_VC24,Percent  with a disability; Estimate; Population 65 years and over - With an independent living difficulty
HC03_MOE_VC24,Percent  with a disability; Margin of Error; Population 65 years and over - With an independent living difficulty
HC01_EST_VC26,Total; Estimate; SEX - Male
HC01_MOE_VC26,Total; Margin of Error; SEX - Male
HC02_EST_VC26,With a disability; Estimate; SEX - Male
HC02_MOE_VC26,With a disability; Margin of Error; SEX - Male
HC03_EST_VC26,Percent  with a disability; Estimate; SEX - Male
HC03_MOE_VC26,Percent  with a disability; Margin of Error; SEX - Male
HC01_EST_VC27,Total; Estimate; SEX - Female
HC01_MOE_VC27,Total; Margin of Error; SEX - Female
HC02_EST_VC27,With a disability; Estimate; SEX - Female
HC02_MOE_VC27,With a disability; Margin of Error; SEX - Female
HC03_EST_VC27,Percent  with a disability; Estimate; SEX - Female
HC03_MOE_VC27,Percent  with a disability; Margin of Error; SEX - Female
HC01_EST_VC29,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC01_MOE_VC29,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC02_EST_VC29,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC02_MOE_VC29,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC03_EST_VC29,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC03_MOE_VC29,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race
HC01_EST_VC30,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC01_MOE_VC30,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC02_EST_VC30,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC02_MOE_VC30,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC03_EST_VC30,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC03_MOE_VC30,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - White alone
HC01_EST_VC31,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC01_MOE_VC31,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC02_EST_VC31,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC02_MOE_VC31,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC03_EST_VC31,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC03_MOE_VC31,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Black or African American alone
HC01_EST_VC32,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC01_MOE_VC32,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC02_EST_VC32,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC02_MOE_VC32,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC03_EST_VC32,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC03_MOE_VC32,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - American Indian and Alaska Native alone
HC01_EST_VC33,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC01_MOE_VC33,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC02_EST_VC33,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC02_MOE_VC33,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC03_EST_VC33,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC03_MOE_VC33,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Asian alone
HC01_EST_VC34,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC01_MOE_VC34,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC02_EST_VC34,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC02_MOE_VC34,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC03_EST_VC34,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC03_MOE_VC34,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Native Hawaiian and Other Pacific Islander alone
HC01_EST_VC35,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC01_MOE_VC35,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC02_EST_VC35,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC02_MOE_VC35,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC03_EST_VC35,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC03_MOE_VC35,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One Race - Some other race alone
HC01_EST_VC36,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC36,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC36,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC36,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC36,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC36,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC37,"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC37,"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_EST_VC37,"With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_MOE_VC37,"With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC37,"Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC37,"Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC38,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC01_MOE_VC38,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC02_EST_VC38,With a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC02_MOE_VC38,With a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC03_EST_VC38,Percent  with a disability; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC03_MOE_VC38,Percent  with a disability; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race)
HC01_EST_VC40,Total; Estimate; PERCENT IMPUTED - Disability status
HC01_MOE_VC40,Total; Margin of Error; PERCENT IMPUTED - Disability status
HC02_EST_VC40,With a disability; Estimate; PERCENT IMPUTED - Disability status
HC02_MOE_VC40,With a disability; Margin of Error; PERCENT IMPUTED - Disability status
HC03_EST_VC40,Percent  with a disability; Estimate; PERCENT IMPUTED - Disability status
HC03_MOE_VC40,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Disability status
HC01_EST_VC41,Total; Estimate; PERCENT IMPUTED - Heaving difficulty
HC01_MOE_VC41,Total; Margin of Error; PERCENT IMPUTED - Heaving difficulty
HC02_EST_VC41,With a disability; Estimate; PERCENT IMPUTED - Heaving difficulty
HC02_MOE_VC41,With a disability; Margin of Error; PERCENT IMPUTED - Heaving difficulty
HC03_EST_VC41,Percent  with a disability; Estimate; PERCENT IMPUTED - Heaving difficulty
HC03_MOE_VC41,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Heaving difficulty
HC01_EST_VC42,Total; Estimate; PERCENT IMPUTED - Vision difficulty
HC01_MOE_VC42,Total; Margin of Error; PERCENT IMPUTED - Vision difficulty
HC02_EST_VC42,With a disability; Estimate; PERCENT IMPUTED - Vision difficulty
HC02_MOE_VC42,With a disability; Margin of Error; PERCENT IMPUTED - Vision difficulty
HC03_EST_VC42,Percent  with a disability; Estimate; PERCENT IMPUTED - Vision difficulty
HC03_MOE_VC42,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Vision difficulty
HC01_EST_VC43,Total; Estimate; PERCENT IMPUTED - Cognitive difficulty
HC01_MOE_VC43,Total; Margin of Error; PERCENT IMPUTED - Cognitive difficulty
HC02_EST_VC43,With a disability; Estimate; PERCENT IMPUTED - Cognitive difficulty
HC02_MOE_VC43,With a disability; Margin of Error; PERCENT IMPUTED - Cognitive difficulty
HC03_EST_VC43,Percent  with a disability; Estimate; PERCENT IMPUTED - Cognitive difficulty
HC03_MOE_VC43,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Cognitive difficulty
HC01_EST_VC44,Total; Estimate; PERCENT IMPUTED - Ambulatory difficulty
HC01_MOE_VC44,Total; Margin of Error; PERCENT IMPUTED - Ambulatory difficulty
HC02_EST_VC44,With a disability; Estimate; PERCENT IMPUTED - Ambulatory difficulty
HC02_MOE_VC44,With a disability; Margin of Error; PERCENT IMPUTED - Ambulatory difficulty
HC03_EST_VC44,Percent  with a disability; Estimate; PERCENT IMPUTED - Ambulatory difficulty
HC03_MOE_VC44,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Ambulatory difficulty
HC01_EST_VC45,Total; Estimate; PERCENT IMPUTED - Self-care difficulty
HC01_MOE_VC45,Total; Margin of Error; PERCENT IMPUTED - Self-care difficulty
HC02_EST_VC45,With a disability; Estimate; PERCENT IMPUTED - Self-care difficulty
HC02_MOE_VC45,With a disability; Margin of Error; PERCENT IMPUTED - Self-care difficulty
HC03_EST_VC45,Percent  with a disability; Estimate; PERCENT IMPUTED - Self-care difficulty
HC03_MOE_VC45,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Self-care difficulty
HC01_EST_VC46,Total; Estimate; PERCENT IMPUTED - Independent living difficulty
HC01_MOE_VC46,Total; Margin of Error; PERCENT IMPUTED - Independent living difficulty
HC02_EST_VC46,With a disability; Estimate; PERCENT IMPUTED - Independent living difficulty
HC02_MOE_VC46,With a disability; Margin of Error; PERCENT IMPUTED - Independent living difficulty
HC03_EST_VC46,Percent  with a disability; Estimate; PERCENT IMPUTED - Independent living difficulty
HC03_MOE_VC46,Percent  with a disability; Margin of Error; PERCENT IMPUTED - Independent living difficulty
